name,gender,meaning,origin,language,root_name,variants,nicknames,related_names,source_name,source_url,confidence,notes
Abigail,girl,"my father is joy","Hebrew biblical name","Hebrew",Abigail,"Abigayle; Abigale","Abby; Abbey; Gail","Hannah; Elizabeth; Grace","Wikipedia - Abigail (name)",https://en.wikipedia.org/wiki/Abigail_(name),medium,"Meaning is commonly given for the Hebrew biblical name."
Alice,girl,"noble type or noble kind","Old French form of the Old High German name Adalheidis","Old French; Germanic",Adelaide,"Alicia; Alison; Alisa; Alyssa","Ali; Allie; Ally","Adelaide; Matilda; Clara","Wikipedia - Alice (name)",https://en.wikipedia.org/wiki/Alice_(name),high,"Derived from Adalheidis/Adelaide; meanings are tied to the Germanic elements for nobility."
Amelia,girl,"work","Germanic name from the Amal element","Germanic",Amalia,"Amalia; Emilia; Amelie","Mia; Millie; Amy","Emilia; Olivia; Isla","Wikipedia - Amelia (given name)",https://en.wikipedia.org/wiki/Amelia_(given_name),medium,"Often connected with the Germanic Amal element."
Arthur,boy,"meaning uncertain","Traditional Celtic and Welsh-associated given name","Celtic; Welsh",Arthur,"Artur; Arturo","Art; Artie","Alfred; Henry; Jasper","Wikipedia - Arthur",https://en.wikipedia.org/wiki/Arthur,low,"Etymology is debated, so no fixed meaning is asserted."
Ava,girl,"meaning uncertain","Modern given name with multiple proposed origins","Multiple",Ava,"Eva; Eve","Avie","Ivy; Isla; Mia","Wikipedia - Ava (given name)",https://en.wikipedia.org/wiki/Ava_(given_name),low,"Several origins are proposed; no single meaning is treated as settled."
Charlotte,girl,"feminine form of Charles","French feminine diminutive of Charles","French; Germanic",Charles,"Carlotta; Caroline; Charlene","Charlie; Lottie","Matilda; Amelia; Alice","Wikipedia - Charlotte (given name)",https://en.wikipedia.org/wiki/Charlotte_(given_name),medium,"The name is a feminine form of Charles; the meaning of Charles is usually linked to a free person/man."
Chloe,girl,"green shoot or blooming","Greek given name","Greek",Chloe,"Cloe; Khloe","Chlo","Zoe; Lily; Ivy","Wikipedia - Chloe",https://en.wikipedia.org/wiki/Chloe,medium,"Meaning is tied to the Greek word for young green growth."
Daisy,girl,"daisy flower","English flower name","English",Daisy,"Daisie","Daze","Lily; Violet; Rose","Wikipedia - Daisy (given name)",https://en.wikipedia.org/wiki/Daisy_(given_name),high,"English given name taken from the flower."
Eleanor,girl,"meaning uncertain","Medieval European given name with disputed origin","Old French; Occitan",Eleanor,"Elinor; Leonor; Eleonora","Ellie; Nell; Nora","Alice; Matilda; Clara","Wikipedia - Eleanor",https://en.wikipedia.org/wiki/Eleanor,low,"Origin and meaning are disputed."
Elizabeth,girl,"my God is an oath","Hebrew biblical name through Greek and Latin forms","Hebrew; Greek; Latin",Elisheva,"Elisabeth; Eliza; Isabel","Liz; Lizzie; Beth; Eliza","Abigail; Hannah; Charlotte","Wikipedia - Elizabeth (given name)",https://en.wikipedia.org/wiki/Elizabeth_(given_name),medium,"Meaning is commonly given from the Hebrew root name Elisheva."
Ella,girl,"meaning uncertain","Short form and independent given name with multiple origins","Multiple",Ella,"Elle; Ela","Ellie; Elle","Isla; Ava; Mia","Wikipedia - Ella (name)",https://en.wikipedia.org/wiki/Ella_(name),low,"Used as both a short form and independent name; origins vary."
Emily,girl,"rival or eager","English form of Aemilia","Latin",Aemilia,"Emilie; Emilia; Amelia","Em; Emmy; Millie","Amelia; Olivia; Sophie","Wikipedia - Emily (given name)",https://en.wikipedia.org/wiki/Emily_(given_name),medium,"Derived from the Roman family name Aemilius/Aemilia."
Grace,girl,"grace; favour; blessing","English virtue name","English; Latin",Grace,"Gracia; Grazia","Gracie","Hope; Lily; Rose","Wikipedia - Grace (given name)",https://en.wikipedia.org/wiki/Grace_(given_name),high,"English virtue name connected with grace and the Latin gratia."
Hannah,girl,"favor or grace","Hebrew biblical name","Hebrew",Channah,"Hanna; Hana","Han; Annie","Abigail; Grace; Elizabeth","Wikipedia - Hannah (name)",https://en.wikipedia.org/wiki/Hannah_(name),medium,"Commonly explained from Hebrew Channah."
